time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,        1,
       1,        3,       10,
       1,        4,       10,
       1,        5,       10,
       1,        6,       10,
       1,        7,       10,
       1,        8,       10,
       1,        9,       10,
       2,        1,        1,
       2,        2,        1,
       2,        3,       10,
       2,        4,       10,
       2,        5,       10,
       2,        6,       10,
       2,        7,       10,
       2,        8,       10,
       2,        9,       10,
       2,       10,       10,
       2,       11,       10,
       2,       12,       10,
       2,       13,       10,
       2,       14,       10,
       2,       15,       10,
       2,       16,       10,
       2,       17,       10,
       2,       18,       10,
       2,       19,       10,
       2,       20,       10,
       2,       21,       10,
       2,       22,       10,
       3,        1,        1,
       3,        2,        1,
       3,        3,       10,
       3,        4,       10,
       3,        5,       10,
       3,        6,       10,
       4,        1,        1,
       4,        2,        1,
       4,        3,       10,
       4,        4,       10,
       4,        5,       10,
       4,        6,       10,
       4,        7,       10,
       4,        8,       10,
       4,        9,       10,
       4,       10,       10,
       5,        1,        1,
       5,        2,        1,
       5,        3,       10,
       5,        4,       10,
       5,        5,       10,
       5,        6,       10,
       5,        7,       10,
       5,        8,       10,
       5,        9,       10,
       5,       10,       10,
       5,       11,       10,
       5,       12,       10,
       5,       13,       10,
       5,       14,       10,
       5,       15,       10,
       5,       16,       10,
       5,       17,       10,
       5,       18,       10,
       5,       19,       10,
       5,       20,       10,
       5,       21,       10,
       5,       22,       10,
       5,       23,       10,
       5,       24,       10,
       5,       25,       10,
       5,       26,       10,
       5,       27,       10,
       5,       28,       10,
       5,       29,       10,
